Text,Sentiment
খুব_মানে_খুবই_ফালতু_স্বাদ,Negative
কালকে_খাবো,Positive
মজা_লেগেছে,Positive
আগে_খেয়েছি,Positive
মোহাম্মদপুরে_H_&_C_বা_কাছাকাছি_নামের_দোকানে_বাটা_মাংসের_হালিম_বিক্রি_করতো,Positive
৫_তারা_দিছোস_ক্যান,Negative
হতাশ_হয়ে_অখুশিতে,Negative
আজকে_একটু_খিচুড়িকে_অবসর_দিলাম,Neutral
ভরপুর_চীজ_ভিতরের_অংশে_পিৎজা_সস_দিয়ে_লাইট_স্বাদ,Positive
 বৃষ্টি_মানে_পিৎজা,Positive
দারুন_ট্রেন্ডিং_পিৎজা,Positive
 সামনে_নতুন_আইটেমগুলো_আসবে,Positive
পিৎজাগুলোই_ঢাকায়_ইন্ট্রডিউস_করেনি,Negative
 পিৎজা_খেয়ে_ফ্যান,Positive
 পিৎজা_সাথে_এক্সট্রা_সস_খাওয়ার_জংগলী_স্বাদ_ছাড়া_কিছুই_না ,Negative
বেশি_করে_খুব_প্রিয়,Positive
হিসাবে_কি_পেতে_চান,Neutral
পিজ্জা_খামু ,Positive
রাত_বিরাতে_খাইতে_মন_চায়,Positive
সানগ্লাস_পিন্দা_পিজ্জা_খাইতে_মন_চায়,Positive
সানগ্লাসের_সাথে_ডমিনস_পিৎজা,Positive
 প্রিয়_খাবারের_জায়গা,Positive
একটু_মিডিয়াম_আকারের,Neutral
যথেস্ট_পরিমানে_ফ্রাইজ_সালাদ__সস_ছাড়াও_আইসড_টি_সব_মিলিয়ে_৩৯৯টাকায়_ইন্টারন্যাশনাল_ফুড_চেইন_শপের_সার্ভিস_এন্ড_এম্বিয়েন্ট_হিসাবে_ঢাকা_শহরের_Best_Sahri_Deal,Positive
পেস্তাবাদামের_গুরার_ঘন_পুর,Positive
তুরস্ক_থেকে_শুরু_করে_মধ্যপ্রাচ্যে_ডেজার্ট_আইটেম_ব্যাপক_জনপ্রিয়_কুনাফা_ঢাকায়_নাই_বললেই_চলে,Negative
কি_পরিমান_অর্ডার_দিতে_হয়,Neutral
নরমালি_২_৩_জন_খেতে_পারবে,Positive
স্বাদের_কুনাফা_ঢাকায়_যেইদিন_পাবো_সেইদিনই_মন_থেকে_তুরস্কে_ঘুরতে_যাওয়ার_ইচ্ছাটা_উবে_যাবে,Negative
ছবির_এই_বাটি_খেতে_পারে ,Positive
যত্ন_নিয়ে_খাবার_খাওয়া_ছবি_তুলেছেন_দেখে_খুশিতে_আপ্লুত,Positive
অনেক_দোয়া_রইল ,Positive
ডেলিভারি_চার্জটা_বেশি ,Negative
ডিসেন্টের_দেখাদেখি_শুরু_করলেও_ঢাকায়_Decent_নবাবী_হালিম_বিট_দেওয়ার_মত_কেউ_আছে,Positive
ঢাকায়_হায়দ্রাবাদী_বা_লাহোরের_পিস্তা_হালিম_কথা_আসলেই_এক_নাম_আসে_Decent_বেকারি_রমজানের_স্পেশাল_নবাবী_হালিম,Positive
একদম_ফেইল্ড,Negative
পিস্তা_বা_পিসে_নেওয়া_হালিমের_প্রধান_বৈশিষ্ট্যই_এইটি_যে_সব_বেটে_ফেললে,Positive
ডালগুলো_প্রায়_আস্ত_রয়ে_গেছে,Negative
খুবই_কম,Negative
না_নুনের_স্বাদ_না_মশলার_ঘ্রাণ_না_পিসে_ফেলা_ডাল,Negative
একদম_প্লেইন_টেক্সচারের ,Negative
 ঘ্রাণ_নাই,Negative
মন্দ_ভাল_যাইহোক_আল্লাহ_রিযিক_রেখেছিলেন_সব_থেকে_বড়_পাওয়া,Positive
আলহামদুলিল্লাহ ,Positive
সবই_মিসিং,Neutral
 ভাল_দিক,Positive
হালিম_ভাল,Positive
সব_কিছুতেই_মান_রাখে,Positive
দ্বিতীয়_অবস্থানে_কাকে_রাখবেন_পিস্তা_হালিমের_ক্ষেত্রে,Neutral
সেরা,Positive
নবাবী_হায়দ্রাবাদী_লাহোরী_হালিম_শুধু_ঢাকা_না_সারা_বাংলাদেশে_Decent_ছাড়া_কেউ_করে_কিনা__জানা_নাই,Positive
নামেই_পরিচয়_হালিমের,Positive
ছোটবেলা_থেকে__হায়দ্রাবাদী_বা_লাহোরি_হালিম_নবাবী_হালিম_পুরান_ঢাকার_সুখ্যাত_বেকারি_শুধু_ডিসেন্ট_করে,Positive
চিজের_মত_গোসতের_আশের_টান_পরে,Negative
মূল_বৈশিষ্ট্য_হালিমের_কয়েকপদের_ঢাল_ও_মশলা_সব_উপকরণ_প্রায়_একই_থাকলেও_গোসত_পুরা_বাটা,Neutral
গোসতকে_ডালের_সাথে_জাল_দিতে_দিতে_বাটনা_দিয়ে_ঘাটা_যাতে__গোসত_ঝুরা_হয়ে_খুলে_আসে,Neutral
স্বাদের_খুব_আহামরি_পরিবর্তন_না_আসলেও_নলির_ভেতরের_মঞ্জা_তেল_দমে_দমে_বের_হয়ে_হালিমের_সাথে_মিশে_একাকার_স্বাদ_তৈরি_করেছে,Positive
বছর_প্রথম_হালিমের_মধ্যে_গরুর_বড়_বড়_নলিও_পেলাম,Positive
রমজান_স্পেশাল_হালিম,Positive
মোলায়েম_স্বাদটা_অনেকাংশেই_নেই ,Negative
স্বাদ_ও_মানের_এতটাই_অবনতি_হয়েছিল,Negative
আগের_স্বাদে_কিছুটা_হলেও_ফিরে_আসতে_মহা_খুশি,Positive
পনির_চিকেন_সামোসাটাও_ভালো,Positive
 জবরদস্ত_জিনিস,Positive
দাম_বারাইসে ,Negative
 কি_দাম_বাড়াইসে,Neutral
ট্রেভর_জেমসের_ভ্লগে_এমন_হালিম_দেখেছিলাম_ভারতের_হায়দ্রাবাদে,Positive
আফসোস_ঢাকায়_থাকিনা,Positive
পার্সেল_অর্ডার_করসিলেন_কি_উপায়ে,Neutral
মাত্র_একটা_পাইসি,Positive
আপনি_কয়টা_পাইসেন,Positive
আজকে_নিয়েছিলাম,Positive
সিরিয়ালে_২য়_ছিলাম_টপাটপ_২টা_মিডিয়াম ,Positive
মালিবাগ_বা_মগবাজার__কোন_ব্র‍্যাঞ্চ,Neutral
একই_নাকি_স্বাদে_ভিন্নতা_আছে,Neutral
স্বাদ_জিভে_লাগলে___পিস্তা_হালিম_৫_স্টার_পাবেনা ,Neutral
হালিম_একটা_ভালবাসা,Positive
last_year_খুব_খুব_disappointed_হয়ে_গেসি,Negative
অপেক্ষা_করি_হালিমটার_জন্য,Positive
বিরাট_বড়_লাইন,Positive
সিরিয়াসল_গত_কাল_অনেক_try_করসি__পাইলাম_না,Negative
সব_ব্রাঞ্জেই_সমান,Neutral
হালিম_কয়টা_থেকে_কয়টা_পাওয়া_যাবে,Neutral
পেট_ব্যাথা_করবে_না_দিলে,Neutral
১টা_শুধু_১_জন_খাওয়া_যাবে,Negative
কয়টায়_লাইনে_দাঁড়ালে_ভাল_হবে,Neutral
ইয়ার_মিস_করিওনা  ,Neutral
এই_বছর_দেখলাম_গরুর_বড়_বড়_নলি_এ্যাড_করেছে_হালিমে,Positive
 বছরের_তিক্ততার_স্বাদ_দেখা_যাক_এই_বছর_ঠিক_হলো_কিনা,Neutral
দেখসি_পানি_মিলাইতে ,Negative
স্বাদে_ব্যাপক_অবনতি_পাই ,Negative
 তেল_মসলা_শেষ,Negative
পাতিলের_শেষ_অংশে,Negative
আনন্দ_নিলাম,Positive
স্বাদ_বরবাদ_হয়েছে ,Negative
নল্লি_কুইক_জানান_কেমন_হইসে,Neutral
রোযা_আগে_সকালের_শেষ_নাস্তা,Positive
 হাতে_গোনা_রেস্তোরাঁ_আছে_প্রোপারভাবে_খাসি_পাকাইতে_পারে,Positive
একদম_১নম্বর_আইটেম ,Positive
খাওয়ার_অভিজ্ঞতায়_সেরা ,Positive
রোযার_আয়োজনে_মাটন_গ্লাসি_ও__বিফ_হালিম_করে,Positive
রোযা_শেষে_সেরা_মুগডালে_মাটন_কষা_দিয়ে_একদিন_সকালের_নাস্তা_করবো,Positive
কি_জিনিস,Neutral
কেউ_থাকলে_মজা,Neutral
অনেক_ভাল_লাগে,Positive
ফ্রোজেন_মানে,Neutral
পানি_আইয়া_পড়ছে_মুখে,Positive
সকালে_গেলে_ফ্রোজেনটা_কিনে_আনতে_পারবেন,Positive
ফ্রাই_করাটা_খেতে_চাইল্লে_৫_টায়_যেতে_হবে  ,Negative
খাবারটার_মান_কমেছে,Negative
খুবই_প্রিয়_সাউথ_চেইন_শপ,Positive
প্রিয়_Gochujang_Shrimp_Rice_Meal_টা_অর্ডার_করতে_গিয়ে_জানলাম_সেম_আইটেমটি_BOGO_অফারে_পাওয়া_যাচ্ছে,Positive
অনেকটাই_লস্ট,Negative
একটু_সাটল_করা_হয়েছিলো,Negative
BBQ_BD_ম্যানেজমেন্টকে_বিষয়টা_জানালে_খুবই_দায়িত্বের_সাথে_শুনে_ইমিডিয়েটলি_চীফ_শেফ_সাথে_কথা_বলে,Positive
"প্রিয়া_জায়গায়_খাবারটা_একই_স্বাদের_না_পাওয়ার_ফলটা_জানানোর_পরে_নিজ_দায়িত্বে_প্রবলেম_ফাইন্ডিং_করে_সলিউশনও_জানিয়ে_দিলো_খাবারটা_শেষ_হবার_আগে,_এইটাকেই_বলে_কাস্টোমার_সারভিস_নিশ্চিতকরণ_ও_নিয়ন্ত্রণ_দেশে_৮৫%_রেস্তোরা_ব্যবসায়ীদের_প্রোফেশনালইজমটাই_নেই",Negative
স্বাদে_হেরফের_হলেও_কাস্টোমার_সারভিস_প্রদানে_তৎপর,Neutral
 আইটেমটা_মাক্ষন_স্বাদের,Positive
খাবার_অপছন্দের_লিস্টে,Negative
তেমনি_তেহারি_মোহাম্মাদপুরের_তাজ_বিরিয়ানি,Positive
বেশি_কিছু_বলার_নাই,Neutral
পিসগুলো_আরেকটু_ভাল_দিলে_প্রোপার_প্যাকেজে_হতে_পারতো,Neutral
অবস্থাটা_খতরনাক,Negative
কব্জি_ডুবিয়ে_খুজতে_হবে ,Negative
বিশাল_ভুলত্রুটি ,Negative
কিছু_হইলো_রাতে_এইগুলা_দেখা_লাগলো ,Negative
সেরা_তেহারি_খেয়ে_ফেলুন,Positive
কিচেনের_অকল্পনীয়_নোংরার,Negative
 যাওয়া_হয়নাই  ,Negative
বাজে_হয়ে_গেসে ,Negative
মাঝে_অফ_ছিল,Negative
ভালই ,Positive
একসময়_রেগুলার_খেতাম,Positive
ব্যাবসার_মুল্ধন_ভদ্রতা_অইখানে_নাই,Negative
অসাধারন_মজার_খাবার ,Positive
আগে_ভালো_ছিলো_খাবার,Positive
পেটুক_দীর্ঘস্থায়ী ,Positive
 দিনে_দিনে_গোল্লায়_যাচ্ছে,Negative
অল্পদামে_অনেক_ভালো_সুস্বাদু_খাবার,Positive
কমখরচ_ভালো_খাওয়া,Positive
সাধ্যের_মধ্যে_সবটুকু_সুখ ,Positive
সেই_ভায়া_সেই,Positive
অসাধারণ_খাবার_প্লেস ,Positive
 স্বাদ_ভালই,Positive
ছবির_সাথে_অরিজিনাল_খাবারের_পার্থক্য ,Negative
পেরাময়_জীবন_থেকে_মুক্তির_জন্য_রাতে_বার্গার_খেতে_গেছিলাম,Positive
খুব_মজার_বার্গার_বেশি_মজার_লেমোওনেডটা,Positive
 প্রায়ই_যায়_সেখানে,Positive
দেখা_হবে_প্রথম_ভালোবাসা,Positive
বড্ড_বেশী_মিস_করছি,Positive
ভালোবাসি_ভালোবাসার_বাইট,Positive
 কেমন_বাজে_স্বাদ ,Negative
ভালোলাগা_ভালোবাসা_সবার_জন্য,Neutral
প্রবলেম_ছিল,Negative
 বোঝাইতেই_পারলাম_না,Negative
এটা_নিতেই_হবে,Negative
 সার্ভিস_কোয়ালিটিতে_কমতি_রাখে ,Negative
বার্গার_খেছেন_পছন্দ_করেন_না_এমন_পরিচিতদের_নেই_বললেই_চলে,Positive
 এটার_দরকার_ছিল_না,Negative
 খুব_ভাল,Positive
চলে_আসল ,Positive
ভালই_লাগছে_পার্সেল_নিয়ে_গেল,Positive
বার্গারে_ছোট_প্লাস্টিকের_টুকরো_পাওয়া_যায়_ফ্যামিলি_ম্যাম্বার_প্লেটে,Negative
বন্ধুর_প্লেটে_পড়লে_সমস্যা_ছিল_না_guest_বলে_কথা,Negative
ভুল_হতেই_পারে_আশাকরছি_ভুল_যাতে_না_হয়,Neutral
 পার্সেলে_আশা_খাবার_গুলোত_কখনোই_না ,Negative
 লজ্জ্বাকর_ব্যাপার,Negative
ঠিকঠাকই_ছিল,Positive
খেলাম_৩বন্ধু_৩টা,Positive
ব্যাস্ততা_দেখিয়ে_বসিয়ে_রাখলেন_নতুন_বার্গার_নিয়ে_এলেন,Negative
খাবারটা_সার্ভ_করতে_চাচ্ছেন,Neutral
চারটা_বারগার_এক_ঘন্টার_সময়_লাগসে,Negative
ক্যাশ_কাউন্টারে_শিক্ষিত_বসান,Negative
 স্টাফদের_ব্যবহার_খারাপ,Negative
 ঠিক_টাক,Positive
 দশে_দশ ,Positive
 ব্যবহারও_অনেক_ভালো,Positive
যাওয়ার_ইচ্ছে_ছিল_ওয়ান_টাইম_গ্লাস_নিয়ে_এমন_করে_নাজানি_অন্য_খাবার_নিয়ে_কি_করে,Negative
চিকেনগুলা_মরা_মুরগির,Negative
ওয়ান_টাইম_গ্লাসগুলো_ধুয়ে_ব্যবহার_করে,Negative
পরিবেশ_খাবার_ভালোই,Positive
জায়গাটা_অনেক_ছোট,Negative
পিপড়া_ছিল,Negative
খাবার_ভাল_অনেক_পোকা_ছিল,Negative
ওয়ানটাইম_গ্লাস_ধুয়ে_সার্ভ_করে,Negative
এটা_চলছে_কিভাবে ,Negative
 দেরী_করে_খাবার_দিতে,Negative
খাবারও_মজা,Positive
ওয়াইফাই_ভালোই_স্পীড,Positive
 বাজেইই_না_অস্বাভাবিক_রকম_বাজে,Negative
বাজেইই_না_অস্বাভাবিক_রকম_বাজে,Negative
মশার_কামড়,Negative
সবচেয়ে_বাজে_সার্ভিস_রেস্টুরেন্ট ,Negative
২_টা_বার্গার_তৈরি_করতে_১_ঘণ্টা_২৭_মিনিট_লাগে,Negative
 ব্যবসায়_করার_নুন্নতম_যোগ্যতা_নেই ,Negative
 মেনেজমেন্ট_নাই,Negative
১৩_০৭_২০১৭_গিয়েছিলাম_chillox_dhanmondi_তে,Positive
খাবার_যতই_ভালো_করুন_না_কেনো_সার্ভিস_ভালো_না_করে_লাভ_নেই,Negative
 খাবার_সার্ভিস_দুটোই_ইম্পোরটেন্ট ,Neutral
আশাহত_হয়ে_বাসায়_ফিরেছি,Negative
স্টুডেন্টরা_যাই_সবাই_অপেক্ষা_করার_সময়_নিয়েও_যায়_না,Negative
হিউজলি_ডিসাপয়েন্টেড,Negative
খুবই_স্লো_সার্ভিস ,Negative
 ৫০মিনিট_লাগবে,Negative
দেশে_১৫_মিনিটে_পারবেনা,Negative
বিদেশে_২মিনিটে_চোখের_সামনে_বার্গার_বানিয়ে_দে,Negative
৫০_মিনিট_একটি_বার্গার_কোল্ড_ড্রিঙ্কস_অর্ডার_করেছিলাম,Negative
ফাজলামি,Negative
১_০৫_অর্ডার_করে_খাবার_পেলাম_১_৫৫,Negative
১টার_পরে_অর্ডার_শুরু_করেছিলো_তাও_ভালো,Negative
 অপেক্ষা_করতে_হয়েছে,Negative
১১টায়_খোলার_কথা_লিখে_১টায়_খোলে,Negative
সমস্যা_হিসাবে_নাই_ধরলাম,Neutral
ভোল্টেজ_কমা_বাড়া_কর্তৃপক্ষের_হাতে_না_তবুও_উচিত_বিষয়ে_নজর_দেওয়া,Neutral
 গরমে_সিদ্ধ_হচ্ছিলাম,Negative
খাবার_ঠিকঠাকই,Positive
 সমস্যা_ছিল_সার্ভিসে ,Negative
ভোল্টেজ_লো_এসি_চলছিলো_না ,Negative
১টায়_খুলবে_১১টা_লিখার_কি_দরকার_ছিল,Negative
ভালো_কথা_বসলাম,Neutral
দেরি_হবে_অর্ডার_নিতে,Negative
১১_টায়_খোলার_কথা_১২.৩০_টায়_ক্লোজড ,Negative
ভালো_আর_ভালো_নাই,Negative
 প্রথম_দিকে_ভালো_ছিল,Positive
পাগল_ফ্যান,Positive
