Text,Feature,Sentiment,,,,,,,,,,,,,,,,,,,,,,,
আইটেম চেঞ্জ ,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
 ভালো,price,Positive,,,,,,,,,,,,,,,,,,,,,,,
৬০টাকার বিরিয়ানি ১২০টাকা ,service,Negative,,,,,,,,,,,,,,,,,,,,,,,
 সেরা ভাই,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
সেরা প্যাকেজ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 অসাধারন,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
স্বাদ ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 চোখে পরল না,food/price,Negative,,,,,,,,,,,,,,,,,,,,,,,
খুঁজে পাইলাম না,ambience,Negative,,,,,,,,,,,,,,,,,,,,,,,
মাছি উড়ছিল  ,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
 ফ্রুটিকার সাথে পানি ,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
 ক্ষুদার জ্বালায় ,service,Neutral,,,,,,,,,,,,,,,,,,,,,,,
 মাছি ,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
বরফের টুকরা ,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
 ঘুরঘুর ,service,Negative,,,,,,,,,,,,,,,,,,,,,,,
গা ছাড়া ভাব ,service,Negative,,,,,,,,,,,,,,,,,,,,,,,
মেয়াদ উত্তির্ন ,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
মুখরোচক ,service,Positive,,,,,,,,,,,,,,,,,,,,,,,
পছন্দের ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
কয়ে ,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
  ভাল,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
সেরা ,price,Positive,,,,,,,,,,,,,,,,,,,,,,,
দাম কমছে,anecdotes/miscellaneous,Positive,,,,,,,,,,,,,,,,,,,,,,,
জব ছেড়ে বড় প্রতিবন্ধকতা ,anecdotes/miscellaneous,Negative,,,,,,,,,,,,,,,,,,,,,,,
মান স্বাদ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 পারফেক্ট,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
কপাল পিন্ডি ,food,Neutral,,,,,,,,,,,,,,,,,,,,,,,
কজনা জানে ,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
আধুনিকতার ফিউশন ,anecdotes/miscellaneous,Positive,,,,,,,,,,,,,,,,,,,,,,,
প্রসিদ্ধ সেরা,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 কাচ্চিটি পাকানো ,anecdotes/miscellaneous,Positive,,,,,,,,,,,,,,,,,,,,,,,
 খিলায় দেন,anecdotes/miscellaneous,Neutral,,,,,,,,,,,,,,,,,,,,,,,
হা করসি ,food,Neutral,,,,,,,,,,,,,,,,,,,,,,,
 ওয়ান অফ দা,anecdotes/miscellaneous,Positive,,,,,,,,,,,,,,,,,,,,,,,
 রিভিউ ,food,Neutral,,,,,,,,,,,,,,,,,,,,,,,
 সুবরাত  ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
উম্মম্মম্মম,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
মুচমুচে ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 ধনে পাতায় চিপে নেওয়া ,food,Neutral,,,,,,,,,,,,,,,,,,,,,,,
 নিঃশব্দে ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 আয়োজনে।,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 রন্ধন প্রনালির ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
  বেশ ভালো,place,Positive,,,,,,,,,,,,,,,,,,,,,,,
নাকি ,price,Neutral,,,,,,,,,,,,,,,,,,,,,,,
কত রে,anecdotes/miscellaneous,Neutral,,,,,,,,,,,,,,,,,,,,,,,
সেরা জিভ ,food,Neutral,,,,,,,,,,,,,,,,,,,,,,,
 এক খানা,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 চির চেনা ,anecdotes/miscellaneous,Positive,,,,,,,,,,,,,,,,,,,,,,,
ট্রাই ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 বিশাল ফারাক,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
 মাঝে মাঝেই,food,Neutral,,,,,,,,,,,,,,,,,,,,,,,
বিস্তর ফারাক,anecdotes/miscellaneous,Negative,,,,,,,,,,,,,,,,,,,,,,,
 সমস্যা,anecdotes/miscellaneous,Negative,,,,,,,,,,,,,,,,,,,,,,,
 যা হয়,anecdotes/miscellaneous,Negative,,,,,,,,,,,,,,,,,,,,,,,
এইটাও গেল ,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
 ফালতু স্বাদ,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
 খাবো,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
মজা ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
আগে খেয়েছি,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
বাটা মাংসের ,anecdotes/miscellaneous,Positive,,,,,,,,,,,,,,,,,,,,,,,
৫ তারা ,anecdotes/miscellaneous,Positive,,,,,,,,,,,,,,,,,,,,,,,
 হতাশ ,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
 অবসর ,food,Neutral,,,,,,,,,,,,,,,,,,,,,,,
লাইট স্বাদ ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 বৃষ্টি পিৎজা,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 স্বাদ  আন্তর্জাতিক,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
নতুন আইটেমগুলো,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 ইন্ট্রডিউস ,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
 ফ্যান,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
জংগলী স্বাদ ,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
 খুব প্রিয়,price,Positive,,,,,,,,,,,,,,,,,,,,,,,
হিসাবে,food,Neutral,,,,,,,,,,,,,,,,,,,,,,,
খামু ,anecdotes/miscellaneous,Positive,,,,,,,,,,,,,,,,,,,,,,,
 মন চায়,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
সানগ্লাস পিন্দা,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 সানগ্লাসের ,anecdotes/miscellaneous,Positive,,,,,,,,,,,,,,,,,,,,,,,
 জায়গা,location,Positive,,,,,,,,,,,,,,,,,,,,,,,
 একটু মিডিয়াম ,food,Neutral,,,,,,,,,,,,,,,,,,,,,,,
 যথেস্ট ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 ঘন,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 কুনাফা  নাই ,quantity,Negative,,,,,,,,,,,,,,,,,,,,,,,
 পরিমান ,quantity,Neutral,,,,,,,,,,,,,,,,,,,,,,,
খেতে পারবে,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
যেইদিন পাবো ,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
 খেতে পারে  ,anecdotes/miscellaneous,Positive,,,,,,,,,,,,,,,,,,,,,,,
 আপ্লুত,anecdotes/miscellaneous,Positive,,,,,,,,,,,,,,,,,,,,,,,
দোয়া ,price,Positive,,,,,,,,,,,,,,,,,,,,,,,
 বেশি ,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
 বিট,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
স্পেশাল ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
একদম ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 প্রধান বৈশিষ্ট্যই ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
আস্ত ,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
খুবই কম,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
 না পিসে ,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
প্লেইন ,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
ঘ্রাণ নাই,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
  বড় পাওয়া,anecdotes/miscellaneous,Positive,,,,,,,,,,,,,,,,,,,,,,,
আলহামদুলিল্লাহ ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
সবই মিসিং ,anecdotes/miscellaneous,Neutral,,,,,,,,,,,,,,,,,,,,,,,
 ভাল দিক,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 ভাল,servive,Positive,,,,,,,,,,,,,,,,,,,,,,,
মান ,anecdotes/miscellaneous,Positive,,,,,,,,,,,,,,,,,,,,,,,
 দ্বিতীয় অবস্থানে ,anecdotes/miscellaneous,Neutral,,,,,,,,,,,,,,,,,,,,,,,
সেরা,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
কেউ করে কিনা  ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
নামেই পরিচয় ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 সুখ্যাত বেকারি ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
আশের টান ,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
পুরা বাটা ,food,Neutral,,,,,,,,,,,,,,,,,,,,,,,
ঝুরা ,food,Neutral,,,,,,,,,,,,,,,,,,,,,,,
একাকার স্বাদ ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 বড় বড় ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 টানা  ৯ বছর ধরে রমজান স্পেশাল  হালিম খাই প্রথম রোজার প্রথম ইফতারেই,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
অনেকাংশেই নেই ,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
অবনতি ,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
মহা খুশি ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 ভালো,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 জবরদস্ত ,price,Positive,,,,,,,,,,,,,,,,,,,,,,,
 দাম বারাইসে ,price,Negative,,,,,,,,,,,,,,,,,,,,,,,
বাড়াইসে,food,Neutral,,,,,,,,,,,,,,,,,,,,,,,
ভ্লগে এমন ,anecdotes/miscellaneous,Positive,,,,,,,,,,,,,,,,,,,,,,,
থাকিনা,anecdotes/miscellaneous,Positive,,,,,,,,,,,,,,,,,,,,,,,
অর্ডার,delivery_method,Neutral,,,,,,,,,,,,,,,,,,,,,,,
একটা পাইসি  ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 পাইসেন ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 নিয়েছিলাম,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 টপাটপ ,anecdotes/miscellaneous,Positive,,,,,,,,,,,,,,,,,,,,,,,
 ব্র‍্যাঞ্চ ,Branch,Neutral,,,,,,,,,,,,,,,,,,,,,,,
ভিন্নতা আছে,food,Neutral,,,,,,,,,,,,,,,,,,,,,,,
জিভে লাগলে,food,Neutral,,,,,,,,,,,,,,,,,,,,,,,
 ভালবাসা,anecdotes/miscellaneous,Positive,,,,,,,,,,,,,,,,,,,,,,,
disappointed ,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
 wait  ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 লাইন,service,Positive,,,,,,,,,,,,,,,,,,,,,,,
 সিরিয়াসল গত কাল অনেক try করসি  পাইলাম না,service,Negative,,,,,,,,,,,,,,,,,,,,,,,
same ,time,Neutral,,,,,,,,,,,,,,,,,,,,,,,
কয়টা,time,Neutral,,,,,,,,,,,,,,,,,,,,,,,
পেট ব্যাথা করবে   না দিলে,food,Neutral,,,,,,,,,,,,,,,,,,,,,,,
 শুধু,quantity,Negative,,,,,,,,,,,,,,,,,,,,,,,
 লাইনে ,food,Neutral,,,,,,,,,,,,,,,,,,,,,,,
মিস ,food,Neutral,,,,,,,,,,,,,,,,,,,,,,,
বড় বড় ন,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
তিক্ততার স্বাদ ,food,Neutral,,,,,,,,,,,,,,,,,,,,,,,
পানি মিলাইতে ,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
অবনতি ,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
শেষ,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
শেষ ,anecdotes/miscellaneous,Negative,,,,,,,,,,,,,,,,,,,,,,,
আনন্দ ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
বরবাদ ,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
 কেমন হইসে,food,Neutral,,,,,,,,,,,,,,,,,,,,,,,
নাস্তা,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
প্রোপারভাবে ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
১নম্বর আইটেম  ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
সেরা ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 আয়োজনে ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
নাস্তা করবো ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
কি জিনিস,anecdotes/miscellaneous,Neutral,,,,,,,,,,,,,,,,,,,,,,,
 মজা,anecdotes/miscellaneous,Neutral,,,,,,,,,,,,,,,,,,,,,,,
ভাল লাগে,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
ফ্রোজেন ,food,Neutral,,,,,,,,,,,,,,,,,,,,,,,
পানি আইয়া পড়ছে  ,time,Positive,,,,,,,,,,,,,,,,,,,,,,,
 কিনে ,time,Positive,,,,,,,,,,,,,,,,,,,,,,,
যেতে হবে  ,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
 মান কমেছে ,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
 খুবই প্রিয় ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 অফারে ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
অনেকটাই লস্ট,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
একটু সাটল ,service,Negative,,,,,,,,,,,,,,,,,,,,,,,
 দায়িত্বের,service,Positive,,,,,,,,,,,,,,,,,,,,,,,
 প্রবলেম ফাইন্ডিং সলিউশন,behavior,Negative,,,,,,,,,,,,,,,,,,,,,,,
তৎপর ,food,Neutral,,,,,,,,,,,,,,,,,,,,,,,
 মাক্ষন ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
অপছন্দের ,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
তেমনি  ,anecdotes/miscellaneous,Positive,,,,,,,,,,,,,,,,,,,,,,,
বলার ,food,Neutral,,,,,,,,,,,,,,,,,,,,,,,
 আরেকটু ,food,Neutral,,,,,,,,,,,,,,,,,,,,,,,
খতরনাক,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
কব্জি ডুবিয়ে ,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
 ভুল ত্রুটি ,anecdotes/miscellaneous,Negative,,,,,,,,,,,,,,,,,,,,,,,
 কিছু হইলো,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
সেরা ,anecdotes/miscellaneous,Positive,,,,,,,,,,,,,,,,,,,,,,,
অকল্পনীয় নোংরার ,anecdotes/miscellaneous,Negative,,,,,,,,,,,,,,,,,,,,,,,
 যাওয়া হয়নাই  ,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
বাজে ,anecdotes/miscellaneous,Negative,,,,,,,,,,,,,,,,,,,,,,,
অফ ,anecdotes/miscellaneous,Negative,,,,,,,,,,,,,,,,,,,,,,,
ভালই ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 রেগুলার,behavior,Positive,,,,,,,,,,,,,,,,,,,,,,,
অইখানে  নাই,Food,Negative,,,,,,,,,,,,,,,,,,,,,,,
অসাধারন ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
ভালো ,anecdotes/miscellaneous,Positive,,,,,,,,,,,,,,,,,,,,,,,
দীর্ঘস্থায়ী ,anecdotes/miscellaneous,Positive,,,,,,,,,,,,,,,,,,,,,,,
 গোল্লায় ,Food/price,Negative,,,,,,,,,,,,,,,,,,,,,,,
  সুস্বাদু,Food,Positive,,,,,,,,,,,,,,,,,,,,,,,
ভালো খাওয়া,Food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 সুখ ,anecdotes/miscellaneous,Positive,,,,,,,,,,,,,,,,,,,,,,,
সেই ,location,Positive,,,,,,,,,,,,,,,,,,,,,,,
অসাধারণ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 স্বাদ ,Food,Positive,,,,,,,,,,,,,,,,,,,,,,,
পার্থক্য ,Food,Negative,,,,,,,,,,,,,,,,,,,,,,,
মুক্তির ,Food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 বেশি মজার  ,Food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 প্রায়ই ,anecdotes/miscellaneous,Positive,,,,,,,,,,,,,,,,,,,,,,,
ভালোবাসা,anecdotes/miscellaneous,Positive,,,,,,,,,,,,,,,,,,,,,,,
